channel,watchTime,streamTime,peakViewers,avgViewers,followers,gainedFollowers,gainedViews,partnered,mature,language,mainGame
Tfue,3671000070,123660,285644,29602,8938903,2068424,78998587,TRUE,FALSE,English,Fortnite
shroud,888505170,30240,471281,29612,7744066,833587,30621257,TRUE,FALSE,English,PUBG
Myth,1479214575,134760,122552,9396,6726893,1421811,37384058,TRUE,FALSE,English,Fortnite
Rubius,2588632635,58275,240096,42948,5751354,3820532,58599449,TRUE,FALSE,Spanish,Minecraft
pokimane,964334055,56505,112160,16026,5367605,2085831,45579002,TRUE,FALSE,English,LoL
summit1g,6091677300,211845,310998,25610,5310163,1370184,89705964,TRUE,FALSE,English,GTAV
TimTheTatman,2834436990,108780,142067,25664,5265659,1244341,50119786,TRUE,TRUE,English,Fortnite
dakotaz,978947160,132615,43397,7112,4520305,489250,18504106,TRUE,FALSE,English,Fortnite
Riot Games (riotgames),2674646715,80820,639375,20960,4487489,497678,56855694,TRUE,FALSE,English,LoL
DrDisrespect,1839882465,73065,97540,23794,4450718,825004,43919410,TRUE,FALSE,English,PUGB
